"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.outreach.management","src/main/java/com/outreach/management/ConfigServerApplication.java","3","8","CommentRequired: Header comments are required","Documentation","CommentRequired"
"2","com.outreach.management","src/main/java/com/outreach/management/ConfigServerApplication.java","3","8","CommentRequired: Header comments are required","Documentation","CommentRequired"
"3","com.outreach.management","src/main/java/com/outreach/management/ConfigServerApplication.java","3","8","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"4","com.outreach.management","src/main/java/com/outreach/management/ConfigServerApplication.java","3","8","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"5","com.outreach.management","src/main/java/com/outreach/management/ConfigServerApplication.java","3","10","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"6","com.outreach.management","src/main/java/com/outreach/management/ConfigServerApplication.java","3","10","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"7","com.outreach.management","src/main/java/com/outreach/management/ConfigServerApplication.java","3","10","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"8","com.outreach.management","src/main/java/com/outreach/management/ConfigServerApplication.java","3","10","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"9","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","10","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"10","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","10","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"11","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","10","CommentRequired: Header comments are required","Documentation","CommentRequired"
"12","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","10","CommentRequired: Header comments are required","Documentation","CommentRequired"
"13","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","13","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"14","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","13","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"15","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","13","JUnitTestsShouldIncludeAssert: JUnit tests should include assert() or fail()","Best Practices","JUnitTestsShouldIncludeAssert"
"16","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","13","JUnitTestsShouldIncludeAssert: JUnit tests should include assert() or fail()","Best Practices","JUnitTestsShouldIncludeAssert"
"17","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","13","UncommentedEmptyMethodBody: Document empty method body","Documentation","UncommentedEmptyMethodBody"
"18","com.outreach.management","src/test/java/com/outreach/management/ConfigServerApplicationTests.java","3","13","UncommentedEmptyMethodBody: Document empty method body","Documentation","UncommentedEmptyMethodBody"
