"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.outreach.management","src/main/java/com/outreach/management/FeedbackManagementApplication.java","3","7","CommentRequired: Header comments are required","Documentation","CommentRequired"
"2","com.outreach.management","src/main/java/com/outreach/management/FeedbackManagementApplication.java","3","7","CommentRequired: Header comments are required","Documentation","CommentRequired"
"3","com.outreach.management","src/main/java/com/outreach/management/FeedbackManagementApplication.java","3","7","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"4","com.outreach.management","src/main/java/com/outreach/management/FeedbackManagementApplication.java","3","7","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"5","com.outreach.management","src/main/java/com/outreach/management/FeedbackManagementApplication.java","3","9","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"6","com.outreach.management","src/main/java/com/outreach/management/FeedbackManagementApplication.java","3","9","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"7","com.outreach.management","src/main/java/com/outreach/management/FeedbackManagementApplication.java","3","9","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"8","com.outreach.management","src/main/java/com/outreach/management/FeedbackManagementApplication.java","3","9","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"9","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","10","CommentRequired: Header comments are required","Documentation","CommentRequired"
"10","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","10","CommentRequired: Header comments are required","Documentation","CommentRequired"
"11","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","10","DataClass: The class 'DatabaseSequence' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"12","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","10","DataClass: The class 'DatabaseSequence' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"13","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","16","MethodArgumentCouldBeFinal: Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"14","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","16","MethodArgumentCouldBeFinal: Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"15","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","16","ShortVariable: Avoid variables with short names like id","Code Style","ShortVariable"
"16","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","16","ShortVariable: Avoid variables with short names like id","Code Style","ShortVariable"
"17","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","24","MethodArgumentCouldBeFinal: Parameter 'seq' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"18","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","24","MethodArgumentCouldBeFinal: Parameter 'seq' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"19","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","29","CommentRequired: Field comments are required","Documentation","CommentRequired"
"20","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","29","CommentRequired: Field comments are required","Documentation","CommentRequired"
"21","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","29","FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Code Style","FieldDeclarationsShouldBeAtStartOfClass"
"22","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","29","FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Code Style","FieldDeclarationsShouldBeAtStartOfClass"
"23","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","29","ShortVariable: Avoid variables with short names like id","Code Style","ShortVariable"
"24","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","29","ShortVariable: Avoid variables with short names like id","Code Style","ShortVariable"
"25","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","31","CommentRequired: Field comments are required","Documentation","CommentRequired"
"26","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","31","CommentRequired: Field comments are required","Documentation","CommentRequired"
"27","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","31","FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Code Style","FieldDeclarationsShouldBeAtStartOfClass"
"28","com.outreach.management.collections","src/main/java/com/outreach/management/collections/DatabaseSequence.java","3","31","FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Code Style","FieldDeclarationsShouldBeAtStartOfClass"
"29","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","8","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"30","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","8","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"31","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","8","CommentRequired: Header comments are required","Documentation","CommentRequired"
"32","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","8","CommentRequired: Header comments are required","Documentation","CommentRequired"
"33","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","8","DataClass: The class 'EventFeedBackDetailsCollections' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=16)","Design","DataClass"
"34","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","8","DataClass: The class 'EventFeedBackDetailsCollections' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=16, WMC=16)","Design","DataClass"
"35","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","11","CommentRequired: Field comments are required","Documentation","CommentRequired"
"36","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","11","CommentRequired: Field comments are required","Documentation","CommentRequired"
"37","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"38","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","14","CommentRequired: Field comments are required","Documentation","CommentRequired"
"39","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","17","CommentRequired: Field comments are required","Documentation","CommentRequired"
"40","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","17","CommentRequired: Field comments are required","Documentation","CommentRequired"
"41","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","20","CommentRequired: Field comments are required","Documentation","CommentRequired"
"42","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","20","CommentRequired: Field comments are required","Documentation","CommentRequired"
"43","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","23","CommentRequired: Field comments are required","Documentation","CommentRequired"
"44","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","23","CommentRequired: Field comments are required","Documentation","CommentRequired"
"45","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","26","CommentRequired: Field comments are required","Documentation","CommentRequired"
"46","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","26","CommentRequired: Field comments are required","Documentation","CommentRequired"
"47","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","26","LongVariable: Avoid excessively long variable names like notParticipatedReason","Code Style","LongVariable"
"48","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","26","LongVariable: Avoid excessively long variable names like notParticipatedReason","Code Style","LongVariable"
"49","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","29","CommentRequired: Field comments are required","Documentation","CommentRequired"
"50","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","29","CommentRequired: Field comments are required","Documentation","CommentRequired"
"51","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","29","LongVariable: Avoid excessively long variable names like unregisteredReason","Code Style","LongVariable"
"52","com.outreach.management.collections","src/main/java/com/outreach/management/collections/EventFeedBackDetailsCollections.java","3","29","LongVariable: Avoid excessively long variable names like unregisteredReason","Code Style","LongVariable"
