"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.travel.management","src/main/java/com/travel/management/ServiceApiGatewayApplication.java","3","11","CommentRequired: Header comments are required","Documentation","CommentRequired"
"2","com.travel.management","src/main/java/com/travel/management/ServiceApiGatewayApplication.java","3","11","CommentRequired: Header comments are required","Documentation","CommentRequired"
"3","com.travel.management","src/main/java/com/travel/management/ServiceApiGatewayApplication.java","3","11","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"4","com.travel.management","src/main/java/com/travel/management/ServiceApiGatewayApplication.java","3","11","UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"5","com.travel.management","src/main/java/com/travel/management/ServiceApiGatewayApplication.java","3","13","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"6","com.travel.management","src/main/java/com/travel/management/ServiceApiGatewayApplication.java","3","13","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"7","com.travel.management","src/main/java/com/travel/management/ServiceApiGatewayApplication.java","3","13","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"8","com.travel.management","src/main/java/com/travel/management/ServiceApiGatewayApplication.java","3","13","MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"9","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","10","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"10","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","10","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"11","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","10","CommentRequired: Header comments are required","Documentation","CommentRequired"
"12","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","10","CommentRequired: Header comments are required","Documentation","CommentRequired"
"13","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","13","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"14","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","13","CommentRequired: Public method and constructor comments are required","Documentation","CommentRequired"
"15","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","13","JUnitTestsShouldIncludeAssert: JUnit tests should include assert() or fail()","Best Practices","JUnitTestsShouldIncludeAssert"
"16","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","13","JUnitTestsShouldIncludeAssert: JUnit tests should include assert() or fail()","Best Practices","JUnitTestsShouldIncludeAssert"
"17","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","13","UncommentedEmptyMethodBody: Document empty method body","Documentation","UncommentedEmptyMethodBody"
"18","com.travel.management","src/test/java/com/travel/management/ServiceApiGatewayApplicationTests.java","3","13","UncommentedEmptyMethodBody: Document empty method body","Documentation","UncommentedEmptyMethodBody"
