"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.travel.management","src/main/java/com/travel/management/AuthApplication.java","3","9","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","com.travel.management","src/main/java/com/travel/management/AuthApplication.java","3","9","headerCommentRequirement Required","Comments","CommentRequired"
"3","com.travel.management","src/main/java/com/travel/management/AuthApplication.java","3","11","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"4","com.travel.management","src/main/java/com/travel/management/AuthApplication.java","3","11","publicMethodCommentRequirement Required","Comments","CommentRequired"
"5","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","17","Each class should declare at least one constructor","Controversial","AtLeastOneConstructor"
"6","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","17","headerCommentRequirement Required","Comments","CommentRequired"
"7","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","19","fieldCommentRequirement Required","Comments","CommentRequired"
"8","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","20","fieldCommentRequirement Required","Comments","CommentRequired"
"9","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","21","Avoid excessively long variable names like GRANT_TYPE_PASSWORD","Naming","LongVariable"
"10","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","21","fieldCommentRequirement Required","Comments","CommentRequired"
"11","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","22","Avoid excessively long variable names like AUTHORIZATION_CODE","Naming","LongVariable"
"12","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","22","fieldCommentRequirement Required","Comments","CommentRequired"
"13","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","23","fieldCommentRequirement Required","Comments","CommentRequired"
"14","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","24","fieldCommentRequirement Required","Comments","CommentRequired"
"15","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","25","fieldCommentRequirement Required","Comments","CommentRequired"
"16","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","26","fieldCommentRequirement Required","Comments","CommentRequired"
"17","com.travel.management.config","src/main/java/com/travel/management/config/AuthorizationServerConfig.java","3","27","fieldCommentRequirement Required","Comments","CommentRequired"
